Nama,Ulasan,Tanggal,Pasar
Tjutjuk Hari Purwanto,Pasar cukup rapi dan bersih.,2021-10-14,Prawirotaman
Crymson Shine,Bersih dan teratur,2021-10-14,Prawirotaman
Wahyu widya,"Pasar tradisional modern , seperti belanja di mall 😊 …",2021-10-14,Prawirotaman
icha Alkha,Rapi bersih mudah mencari  kbutuhan pokok yg mau d beli karena sudah d klompok2 kan..... top deeh,2021-10-14,Prawirotaman
Kaa,"Yth pengelola pasar mohon diperhatikan air untuk cuci tangan,ada sabun tp air nya ga ada ....",2021-10-14,Prawirotaman
Djoko Santoso,Bagus pasar tradisional modern...,2021-10-14,Prawirotaman
Yanuar Satya Chanel,Good,2021-10-14,Prawirotaman
nescy frans,bangunan baru dengan pembagian kategori bahan makanan sehingga memudahkan pembeli,2021-10-14,Prawirotaman
Ika Septiani,Pasarnya enak bersih,2021-10-14,Prawirotaman
johanes Suharso,Pasar tradisional yang nyaman,2021-10-14,Prawirotaman
Alva Agus Widodo,Seperti Mall ada eskalatornya,2021-10-14,Prawirotaman
udik bro,Bagus dan bersih,2021-10-14,Prawirotaman
Yusinta Putri,Pasar bersih dan nyaman,2021-10-14,Prawirotaman
sinlu adji,Pasarnya bersih sekali,2021-10-14,Prawirotaman
haris agus,pasar pawirotaman setelah renovasi sangat bagus dan tertata rapi,2021-10-14,Prawirotaman
matius indarto,"Tambah modern dan bersih serta aksesibel
Lantai atas ada beberapa ruangan yg mendukung ekraf semisal foto studio, podcast studio, meeting room dll",2021-10-14,Prawirotaman
Muhammad Imam Syuja'i,When traditional meet creativity,2021-10-14,Prawirotaman
Difa Diana,Tempatnya bersih dan teratur.... Harganya jg murah2,2021-10-14,Prawirotaman
leo wisnu (inoe'),lengkap... parkir gampang.. toko banyak tutup krn pandemi,2021-10-14,Prawirotaman
Rafiiandra Varo (Chiel),Pasarrnyaa enak dan bersih...,2021-10-14,Prawirotaman
RockFeet Sablon,"Tempat mencari nafkah keluarga..
Monggo di Tumbasi tempe kedelai murni
""BU SADAR"" Matur suwun..🙏🙏 …",2021-10-14,Prawirotaman
Tzvkkhet Ve,Pasar tradisional modern.. ada lift dan eskalatornya... Bersih.. terbersih... Dan juga ada penyaringan airnya... Mantap... Genset mandiri... Wih hebat... Moga bisa dicontoh... Dan merambat ke yang lainnya di jogja istimewa ini...aamiin,2021-10-14,Prawirotaman
Ken Widiyas,Untuk varian menu akan lebih baik kalau diperbanyak,2021-10-14,Prawirotaman
ganeshnovem cahyanto,Pasarnya rapi,2021-10-14,Prawirotaman
Dilarang_pedot Official,Mantapp,2021-10-14,Prawirotaman
Penny Daryati,Keren yaaa pasar bs buat nongki t4 jg lumayan luas makanan sangat murah dr steak ayam goreng mie jawa mie ayam bakso dll,2021-10-14,Prawirotaman
pipiet harumsyah,"Ke pasae tradisional Prawirotaman utk berburu bakpia... Lebih murah, harga murah, rasa enak ga kalah sama bakpia yg bermerek. Bedanya hanya ga pake kardus. Harga miriing banget, ada yg 11rb isi 10 biji. Bisa pesan ke penjualnya buat oleh2. Oiya, penjual jajannn ini ada di lt 4. Tempatnya bersih loh...",2021-10-14,Prawirotaman
Muhammad Hajid,Bersih dan tertib,2021-10-14,Prawirotaman
utfi aji,"Tempatnya bersih rapi, pengelompokan produk pas",2021-10-14,Prawirotaman
Rhisa Kumalawati,"Pasar modern ditengah kota,tempat bersih ada lift dan eskalator nya... Diatas pasar di lantai 4 ada cafenya juga ... 👍👍👍 …",2021-10-14,Prawirotaman
Fitrahmadhany KM,serba ada serba lengkap. bersih,2021-10-14,Prawirotaman
Hartono Hartono,Pasar yg sangat menarik dan tempat sekitar banyak losmen dan hotel kafe serta kunjungan wisatawan,2021-10-14,Prawirotaman
I M,Nikmati senja di lantai paling atas,2021-10-14,Prawirotaman
Agung Wahyudi,Bersih rapi tapi sudah tidak layak disebut pasar tradhisional lagi,2021-10-14,Prawirotaman
megha ayu radinda putri,"Pengalaman pertama kali setelah renovasi pasar prawirotaman,kesan pertama masuk pasarnya bersih dn tertata..tetapi masih banyak los yg kosong dan perlu diisi banyak pedagang lagi sehingga menarik pembeli untuk datang..",2021-10-14,Prawirotaman
karya Permana,Pasar modern,2021-10-14,Prawirotaman
Surya Sena,Clean pasar,2021-10-14,Prawirotaman
Andri Purwanto,Bersih,2021-10-14,Prawirotaman
Thomas Siahaan,Sekrg PASAR PRAWIROTAMAN menjadi Pasar Tradisional tp Modern bagi kami yg msh bisa/tidak takut naik excalator nyaman rasanya tp bagi ibu2 yg sdh tua banyak yg takut …,2021-10-14,Prawirotaman
Davi Angkasa,Bagus...pertahankan terus kebersihan tempatnya,2021-10-14,Prawirotaman
Faisal Permana,tambah modern dengan adanya lift dan escalator,2021-10-14,Prawirotaman
Ragamjasa Indah,"Pasar tradisional yang sudah dibangun modern....dan menyediakan tempat untuk keperluan broadcasting，meeting,  pokoknya sip. Tempatnya baru, masih bersih, dan menginspirasi....",2021-10-14,Prawirotaman
Erna Erviana,Bersih,2021-10-14,Prawirotaman
the kentang,Pasar moderen bisa bayar menggunakan scan dan fasilitas memadai,2021-10-14,Prawirotaman
retno sulistyo,"The best pokoknyaaa, pasar rasa mall",2021-10-14,Prawirotaman
Endang Tri,"Tempatnya bersih pemandangan dr Lantai 4 bagus banget. ,",2021-10-14,Prawirotaman
Candra Jogja Kandang Kadung Jogjakarta,"Tempat nyaman dan bersih
Keamanan mantap.. CCTV dmna"".. Sudah terbukti",2021-10-14,Prawirotaman
Burhan A,Pasar modern,2021-10-14,Prawirotaman
laily hikmawati,Kurang lengkap produknya,2021-10-14,Prawirotaman
Bennie Fourteno Alryanto,"pasar yang tetap tradisional tetapi dikemas menjadi pasar semi modern yang bersih, lebih tertata dan ada eskalatornya untuk naik ke lantai berikutnya..
dan dibagian lantai 4 ada tempat untuk meeting, cafe dan tempat produksi dunia kreatifnya",2021-10-14,Prawirotaman
Nunuk Ambarwati,"Sekarang pasarnya lebih bagus. Lebih bersih, terang, tertata per blok atau per lantainya. Setiap lantai sudah ada fotonya, terdiri dari apa saja. Ada fasilitas lift dan elevator. Kalau belanja sudah ada trolly kecil, jadi ngga capek nenteng …",2021-10-14,Prawirotaman
bestari wedha,"Tempatnya bersih, harga makanan murah, pelayanan cepat dan instagramable 👍 …",2021-10-14,Prawirotaman
Didik Purnomo,Bersih,2021-10-14,Prawirotaman
Farira Avicenna,"Lega, terang dan bersih. Jika dibandingkan dg pasar yg lama. Ada eskalator dan tangga utk naik sampai lantai 3. Utk akses k rooftop bisa menggunakan lift. Ada cafe d rooftop yg buka mulai sore hari. Terdapat keranjang dorong seperti …",2021-10-14,Prawirotaman
Rifa'atul Mahmudah,Jauh lebih nyaman.. Semoga para penjualnya juga diberi kenyamanan dan laris manis ☺,2021-10-14,Prawirotaman
Dyah Hariyadi,Top,2021-10-14,Prawirotaman
Ibu Synthia,Sangat menyenangkan beoanja ke pasar tradisional dengan tampilan lebih modern bersih pula tempatnya 👍😍 …,2021-10-14,Prawirotaman
Amanda Aulia,"Foodcourt nya bersih, luamayan luas, nyaman. Makanannya lumayan bervariasi. Ada bakso, steak, ayam geprek, bakmi jawa, milkshake dll. Ayam geprek nya mantep bgt sih, murah besar dan enak. Area makannya ada 3 spot. Ada rooftopnya juga. Pemandangannya bagus.",2021-10-14,Prawirotaman
BRATA PURWANTA BE,Pasar dekat dan cukup komplit dagangannya,2021-10-14,Prawirotaman
Flora Huliselan,Bersih dan rapih,2021-10-14,Prawirotaman
Iffah simal Atqia fitri,"Tempatnya lumayan luas untuk pemburu sunset bisa ambil t4 di atas, menu makanan bervariasi, Harga nya pun bersahabat.",2021-10-14,Prawirotaman
Ina Ruslinah,Pasar Prawirotaman yang baru sudah bagus. Saya ke sana di malam hari untuk buka bersama teman2 di roof top. View dari roof top bagus. Tp variasi di food court-nya kurang banyak,2021-10-14,Prawirotaman
Purbowo Cipto widodo,Tempatnya bersih nyaman untuk berbelanja,2021-10-14,Prawirotaman
ZZ Mulja Salih,Traditional market goes modern,2021-10-14,Prawirotaman
Watie Ustedy Real,Tempat yg asikkk 👍 …,2021-10-14,Prawirotaman
Yeri Yanto,"Fasilitasnya sudah modern, semoga berkah",2021-10-14,Prawirotaman
Salsarani _AGVI,Bagus rapi bersih,2021-10-14,Prawirotaman
Aryo Jogja,Penataan tempat berdagang jauh lebih rapi dan bersih.,2021-10-14,Prawirotaman
haris munandar,Jogja memang membangun untuk rakyatnya ..,2021-10-14,Prawirotaman
Angelia Martha,"Saya terkesima ketika msk ke pasar tradisional ini. Semua pembayaran sdh cashless, tertata rapi setiap bagian menurut barang yg dijual. Yg paling menarik, ada lift dan eskalator nya. Terdapat juga toilet di setiap lantai. Kalau tdk salah pasar ini memiliki 3 lantai.",2021-10-14,Prawirotaman
aspiyah ali,Tempat belanja favorit ku karena murah di banding pasar yang lain,2021-10-14,Prawirotaman
pakdhe kasan,Nyaman,2021-10-14,Prawirotaman
Nuke Wikan,Sore2 ke pasar Prawirotaman lantai 4. Food court nya nyaman. Makanàn Baru ada beberapa konter tp laris. Harga terjangkau,2021-10-14,Prawirotaman
Fransiska “Jenny” Widiastuti,A very clean traditional market. You will enjoy shoping.,2021-10-14,Prawirotaman
ED Wynstelle,Tertata rapi dan bersih. sippp,2021-10-14,Prawirotaman
Dian April,"Nggak enaknya ; ini pasar Prawirotaman legendaris, pas masih jaman pasarnya blm direnov total kyk gini sering jadi rujukan turis2 mancanegara krn tradisionalnya. Tapi skrg tidak menyisakan sedikitpun nuansa tradisionalnya. …",2021-10-14,Prawirotaman
arief am,Bersih rapi,2021-10-14,Prawirotaman
Yudhi Nata,"Pasarnya bersih, terang dan udaranya segar.",2021-10-14,Prawirotaman
ita dewi puspitasari,"Pasar tertata rapi,bersih,puas belanja serba ada kebutuhan dapur",2021-10-14,Prawirotaman
Witri Handa,Tempat ini sekarang udah rapih dan nyaman untuk berbelanja hanya saja masih ada satu atau dua oedagang asongan yang berkeliling di dalam pasar walaupun dilarang. Tapi dibanding dulu udah aman banget gak ada copet dan cari pedagang lebih mudah dan aman. Pembayaran juga sudah bisa melalui qrcode,2021-10-14,Prawirotaman
Jual Beli Barang Jogja,"bersih, nyaman, parkir di basement sangat bagus utk mengurangi kemacetan di dpn gedung, tukang parkir sigap, masih banyak kios kosong, lebih baik semakin dilengkapi",2021-10-14,Prawirotaman
Dicky Rachmawan,"lantai 4 banyak ruang buat rapat, musik, dll",2021-10-14,Prawirotaman
Dwi Hadiyanto,Mantap jaya,2021-10-14,Prawirotaman
Al Aziz,Mantap tempatnya dan bersih. Klu belanjandisini tidak usah khawatir ininpasar antinbecek.,2021-10-14,Prawirotaman
eko wahyudi,Mantap.bersih.,2021-10-14,Prawirotaman
Akun Coc Satu,"iya, ini sepertinya masih sepi ...",2021-10-14,Prawirotaman
Rofi Rokhman Fadhilah,Bersih dan nyaman,2021-10-14,Prawirotaman
mar tono,sudah pasar modern,2021-10-14,Prawirotaman
FZ Official,Bagus,2021-10-14,Prawirotaman
Dimas Rasyid,Bersih bagus rapih,2021-10-14,Prawirotaman
Farichah Aryuni,"Pasar Tradisional yg mendunia,  karena  letaknya yg dekat dengan  penginapan /hotel  yg disinggahi wisatawan mancanegara",2021-10-14,Prawirotaman
kusnanto hidayat,pasar bersih dengan nuansa modern,2021-10-14,Prawirotaman
Afnan Alwanuddin,"Tempatnya bersih, nyaman, eskalator sudah berjalan lagi",2021-10-14,Prawirotaman
D'Abby D'Bazz,Konsep pasar kekinian yg wajib dikunjungi dgn fasiltas yg modern dan tempat nongkrong diatas pasar yg cukup ok . .,2021-10-14,Prawirotaman
Kresna Moga Wijaya,"Sekarang lbh tertata, lebih modern dan lebih bersih 😁 …",2021-10-14,Prawirotaman
Haryo Pratikno,"Saya ke sini ke lantai 4, ada coworking space dan kulineran oke. Ini ada bakmi djawa yang enak dan otentik. Ada juga bakso, ayam crispy, steak, dll... Monggo dicoba",2021-10-14,Prawirotaman
Eko Setiadi,Bagus pasar nya,2021-10-14,Prawirotaman
"Meliana, Lea","Setelah di renovasi, Pasar Tradisional Prawirotaman terlihat rapi baik dari fisik bangunan maupun fasilitasnya. Dilengkapi dengan eskalator, pengunjung lebih mudah dan nyaman naik sampai ke lantai paling atas (lantai 3). Setiap lantai …",2021-10-14,Prawirotaman
Puji Lestari,Nyaman,2021-10-14,Prawirotaman
Yahya KH,Pasar tradisional modern di Jogja,2021-10-14,Prawirotaman
Aditya JMK,"Clean and Fresh Market, better prices, better place",2021-10-14,Prawirotaman
Dhimas Raffasya,Alhamdulillah Pasary Udah luas.bersih Dan nyaman Untuk belanja... Cuman bagi pemula Untuk belanja pasti bingung,2021-10-14,Prawirotaman
Dwi Fitri Ariyani,Tempatnya luas dan nyaman,2021-10-14,Prawirotaman
Ari Agus Suprihanto,"Lebih bersih, rapi",2021-10-14,Prawirotaman
Lydia Tri Puspita,Pasarnya skrg besar dan bersih. Tertata juga..jd gmpg carinya..,2021-10-14,Prawirotaman
Susilo SSL,"pasar tradisional yang di modern kan.

masih sepi......   mungkin karena masih pandemi covid19. …",2021-10-14,Prawirotaman
arin tika,Belanja nyaman dan aman,2021-10-14,Prawirotaman
Heri Purnomo,Bagus sekali,2021-10-14,Prawirotaman
Aida F,Pasar tradisional yg jadi modern. Bersih dan rapi 👍😁 …,2021-10-14,Prawirotaman
Sigit Sumarwanto,Pasarnya bersih,2021-10-14,Prawirotaman
Ockta Visda,"Pasar satu ini punya tempat nongki keren, viewnya cakep.",2021-10-14,Prawirotaman
Aron Sidabutar,btw pasarnya bersihhhh,2021-10-14,Prawirotaman
Faqih Salman,Good,2021-10-14,Prawirotaman
sri hidayati,Bersih ..rapi nyaman berbelanja,2021-10-14,Prawirotaman
Lia Nurani Setiawati,"Bagus banget sekarang, tertata rapih banget.
Apalagi rooftop sekarang difungsikan sebagai tempat makan cashless, ada beberapa stand makanan. Mantep banget emang ✨",2021-10-14,Prawirotaman
Dokter Sarwo,"Pasar bersih, rapi, nyaman, seneng belanja disini",2021-10-14,Prawirotaman
Sri Silfitria,Lengkap dan bersih,2021-10-14,Prawirotaman
gemma faustina,"Seru banget di sini, apalagi di lantai 4 ada steak murah banget 15ribu worth it ! Wajib ke sini deh",2021-10-14,Prawirotaman
Devinta Prasetya,"Pasar yang lengkap dan semua yang anda cari ada dan kayak mall pasarnya keren bgt ...Angkringan Omah Pojok Yk juga lengkap dengan menu yg memanjakan lidah anda dan juga menerima pesanan Nasi Kuning,Nasi Box,Tumpeng dan aneka snack dengan …",2021-10-14,Prawirotaman
maya ayunda,"pasar yg baru, enak buat belanja, bersih tertata rapi. pas kesana eskalator lantai 1 gak diaktifkan",2021-10-14,Prawirotaman
Sugito,Bagus,2021-10-14,Prawirotaman
miss kanji,Pasar modern,2021-10-14,Prawirotaman
Didik Firmanto,"Lengkap dan nyaman untuk berbelanja,, dilengkapi dengan lift dan tangga eskalator.. Mantap deh pokonya 👍💞🌠😊 …",2021-10-14,Prawirotaman
Gendhis nada mahira,keren,2021-10-14,Prawirotaman
Fahcrih wahyuni,Serasa belanja d mall,2021-10-14,Prawirotaman
windayani harnawan,Tambah gede banget,2021-10-14,Prawirotaman
Adhi wibowo,"bagus,,, bersih,, makan malam disini di lantai paling atas",2021-10-14,Prawirotaman
dewi saputri,Lantai paling atas sendiri ada restoran nya.... Waw banget megah banget..... Memang istimewa 👍👍❤❤❤❤ …,2021-10-14,Prawirotaman
Widi Krapyak,"Pasar kekinian, ada Co-Working Space lho!",2021-10-14,Prawirotaman
Zidni Ilma,Pasar yg kekinian,2021-10-14,Prawirotaman
Zeguy aja,"Sekarang sudah bagus bangunannya ya..
Naik turun pake eskalator. Disediakan juga trolly buat belanja. Pembayaran juga bisa scan barcode BPD DIY. Tambah keren lah. Semoga bermanfaat dan bisa memajukan perekonomian masyarakat sekitarnya.",2021-10-14,Prawirotaman
imada hammada,Pasar tradisional yang sekarang beranjak modern,2021-10-14,Prawirotaman
andiyani kw98,"Setelah dibangun jd lebih bersih dan tertata, tinggal para pedagangnya bisa menjaga kebersihannya nggak",2021-10-14,Prawirotaman
deraLOVA,snack ketela kriptos ramene tersedia komplit,2021-10-14,Prawirotaman
ivan nofik agusta,Suasana food court malam hari,2021-10-14,Prawirotaman
Hapsari Damayanti,Bersihhh,2021-10-14,Prawirotaman
ridhoalpiero,"Food courtnya enak, terutama Mie Ayam di Rumah Makan Bu Yuli",2021-10-14,Prawirotaman
Nani Wulandari,View merapi n sunset,2021-10-14,Prawirotaman
dewarenjana,Pasarnya bagus murah,2021-10-14,Prawirotaman
sukmo simorangkir,"jangan lupa mampir di kios daging ayam bu sumilir no 39 , orang e ramah , le nimbang anget2 🥳 …",2021-10-14,Prawirotaman
Onomie Gakure,Moderen market ya sekarang pasar modern yg dulunya pasar tradisonal sekarang berubah pasar seperti mall ngikut perkembngan jaman semoga yg lain ttp masi ada pasar2 tradisonalnya buat fotografi sekarang sudah dengan wajah yg berbeda,2021-10-14,Prawirotaman
Sijna Fatayani,"Pasar bersih, bagus dan pasar pertama yang bisa cashless",2021-10-14,Prawirotaman
aufa ibrahim,Sudah baru,2021-10-14,Prawirotaman
gudang oleh oleh jogja,Pasar tradisional yg beranjak jadi pasar modern. Semoga tidak menghilangkan nilai 2 tradisional nya.,2021-10-14,Prawirotaman
Wisnu Birowo,Makan siang sambil menikmati Kota Jogja dari ketinggian,2021-10-14,Prawirotaman
Ratna Normawati,"Sekarang pasar tradisional sudah mengalami perubahan wajah menjadi pasar modern, adanya eskalator terbantukan sekali buat mbok2 penjual yg bawa barang byk atau sudah sepuh, sejauh ini masih bagus semoga bisa dipertahankan",2021-10-14,Prawirotaman
Ana Athalla,Min dirooftop ada stand makann ap aj ya???,2021-10-14,Prawirotaman
galih hendra,Sekarang lokasinya sangat tertata dan moderen sekali,2021-10-14,Prawirotaman
Nisa,"Pasarnya bersih gak becek², ada eskalator juga jadi gak capek naik turun tangga. Penjual juga tertata rapi menurut kategori barng dagangan. Jadi cepet kalau mau belanja.",2021-10-14,Prawirotaman
Grosir Boneka Impianku,"Gedung nya bagus, sayang lapak para penjual kekecilan",2021-10-14,Prawirotaman
indra yana,Menyenangkan,2021-10-14,Prawirotaman
Bagus Suharjono,The traditional market being to modern,2021-10-14,Prawirotaman
Joy Simanjuntak,Pembagian penjual berdasarkan bahan yg diperjualbelikan memudahkan konsumen untuk mencari bahan yg diinginkan kekurangan hanya tempat parkir untuk kendaraan roda empat yg kurang luas,2021-10-14,Prawirotaman
Amorita Desfrineve,Mantaaap jiwa topmarkotop,2021-10-14,Prawirotaman
Bolang Tua,"Sekarang rapi dan modern, semoga bisa bertahan tetap rapi dan bersih",2021-10-14,Prawirotaman
Fahri Nur Rahimi,Semoga kebersihan terjaga,2021-10-14,Prawirotaman
Rus Minah,"Pasar tradisional berubah jadi supermarket , bersih ,nyaman, luas dan puas...",2021-10-14,Prawirotaman
andy “bang jack” satria,"Sudah baru, ada eskalator, lebih tertata dan lebih bersih",2021-10-14,Prawirotaman
Tri Sumilih,Pasar nya bagus bgt suka deh kl kesini beli lopis 😀 …,2021-10-14,Prawirotaman
Sigit Sebastian,Lumayan bagus untuk sebuah pasar tradisional...,2021-10-14,Prawirotaman
Dewa Argo,Kayak emoll,2021-10-14,Prawirotaman
Kurniawan Indaryatna,Bersih rapi tertata dgn baik,2021-10-14,Prawirotaman
Mujiati Rajendra Adi,"Serasa di mall, Alhamdulillah",2021-10-14,Prawirotaman
suranto ranto,pasar baru dan bersih,2021-10-14,Prawirotaman
Ramadian Radite,Rapi  bersih nyaman ga bau,2021-10-14,Prawirotaman
Muhammad Hasbi (Hasbi),"Pasarnya bersih, baru, dan megah. Ada liftnya juga. Memanjakan pembeli",2021-10-14,Prawirotaman
Slamet Hari,"Bangunan bagus, semoga perawatannya nanti juga bagus",2021-10-14,Prawirotaman
Rizki YuliYanto,Good,2021-10-14,Prawirotaman
Supri suqampret,Okey...,2021-10-14,Prawirotaman
Wiwin Rahmawati,"Pasarnya Bersih,nyaman,.",2021-10-14,Prawirotaman
Ignatius Muliyawan Cahya Kuncara,"Tambah bersih dan tambah tertata...
Sipppp...",2021-10-14,Prawirotaman
Bagas Alqadri,Pasar modern. Ada parkir basement dan bersih,2021-10-14,Prawirotaman
Jamur Barat,Sip,2021-10-14,Prawirotaman
Anggi Pangestuti,"Bersih rapi tertata, ada eskalator dan lift nya",2021-10-14,Prawirotaman
hana amany,"Bahan makanan lengkap, tempat bersih, lokasi tertata rapi 👍🏻 …",2021-10-14,Prawirotaman
Djoko Sudibjo,Tambah resik,2021-10-14,Prawirotaman
TRISNANI,Pasar tradisional modern,2021-10-14,Prawirotaman
Alfiansyah,Bagus pasarnya👌 baru kali ini liat Pasar se rapih dan modern ini. …,2021-10-14,Prawirotaman
Ismaryuni Sujarwo,skarang jd modern bersih bagus,2021-10-14,Prawirotaman
nitcun,"Untuk pasar yang baru, semoga kebersihannya di pertahankan..",2021-10-14,Prawirotaman
Arifah Ari,"Alhamdulilah ,tambah bagus lebihnya bersih dan teratur",2021-10-14,Prawirotaman
Risma Darmaningrum,Bersih,2021-10-14,Prawirotaman
Yoana Nita,Pasar tradional serasa moll...,2021-10-14,Prawirotaman
Nor Tamyis,Pasarnya 3 lantai pasar tradisional sudah seperti mall,2021-10-14,Prawirotaman
pitrie aprilia,"Parkiran luas, ada lift, eskalator dan tangga.
Lengkap",2021-10-14,Prawirotaman
Ahmad,"Bersih
Tertata rapi
Muda di jangkau dekat jalan besar",2021-10-14,Prawirotaman
deassy m destiani,Belum terlalu rame sih tapi pasarnya bagus. Ada 3 lantai. Jd kalau dulu nyari sesuatu itu lebih cepat sekarang harus naik2 tangga dulu.,2021-10-14,Prawirotaman
ORANGEs TaoMingTse,"Lebih tertata dgn rapi, teratur dan tidak kumuh",2021-10-14,Prawirotaman
Cahyadi “Momo” Purnama,"Masih baru, masih bersih",2021-10-14,Prawirotaman
O Ha,sekarang udh jadi modern market,2021-10-14,Prawirotaman
Annas Makruf Haifani,Bersih,2021-10-14,Prawirotaman
lili megawati,pasar rasa Mall,2021-10-14,Prawirotaman
Eko Wahyuni,Sekarang kaya mall,2021-10-14,Prawirotaman
Harry Suningrat,Pasar selalu jadi pilihan karena murah dan bisa tawar2 buat ibu,2021-10-14,Prawirotaman
johanes ity,Bagus..,2021-10-14,Prawirotaman
M SODIQ,"pasar tradisional tetapi rasanya kyk supermarket.dari segi penataan, dan fasilitas.",2021-10-14,Prawirotaman
"Siti Masrifatun Nikmah,SH",Tertata rapi dan blanja aman d masa pandemi,2021-10-14,Prawirotaman
Azahra Wyandaa,Pasar modern,2021-10-14,Prawirotaman
Fadhilla Dwi Ristianti,"Pasarnya bagus, bersih. Ada eskalatornya.",2021-10-14,Prawirotaman
N Baggaswara,Lengkap.....,2021-10-14,Prawirotaman
MUCHAMAD FAUZI,"Pasar modern dengan nuansa tradisional,,tempat bersih dan nyaman,,buat menikmati jogja dri lantai atas juga bisa ☺,,semua kebutuhan dapur dll ada disini",2021-10-14,Prawirotaman
Nur Kholid,Pasar prawirotaman yang baru,2021-10-14,Prawirotaman
Aris Nugroho,Pasar modern dan keren...,2021-10-14,Prawirotaman
Jeif Jeremy,Good matket,2021-10-14,Prawirotaman
Rita Handayani,Serasa mall,2021-10-14,Prawirotaman
ridwan taufik,"Pasar baru Prawirotaman baru berusia seminggu. Sudah seperti mall, ada elevator dan liftnya. Stand2 tertata rapi, antara penjual buah, sayur, bumbu, peralatan, daging, dll. Untuk kios daging dipisah dinding kaca sehingga baunya …",2021-10-14,Prawirotaman
Yuyun Arnofisary,Good place,2021-10-14,Prawirotaman
Em Thoriq Akbar F,"Pasar ini sekarang sudah modern. Dan bangunan pasarnya bharu, ada eskalatornya juga",2021-10-14,Prawirotaman
Arsalan Baqir Akbar,Pasilitas nya udah oke banget...,2021-10-14,Prawirotaman
mira sisca Kadarsih,"Gedung pasar nya baru, pedagang nya tertata dan terorganisir. Lantai satu : daging sapi, ayam, ikan, tempe tahu, dll. Lantai dua: sayur mayur. Lantai tiga: buah buahan, jajanan pasar, dll. Lantai 4 masih tahap penyelesaian.",2021-10-14,Prawirotaman
Defri Adekurniawan,Bersih,2021-10-14,Prawirotaman
Daniel Simbolon,Rapi... ter-cluster..,2021-10-14,Prawirotaman
mendung daryoto,"Makin tertata rapi. Bersih.
Smoga kebersihannya tetap terjaga agar nyaman berbelanja",2021-10-14,Prawirotaman
Ktip Arif,Oke,2021-10-14,Prawirotaman
Wiro Seno,Tempat yg tdk cocok utk pasar tradisional,2021-10-14,Prawirotaman
Kamustina,"Tempat berbelanja kebutuhan, sekarang sudah di bangun lagi agar lebih bagus & fasilitas nya di tingkatkan",2021-10-14,Prawirotaman
Gunawan Utomo,Tahun 2019 dan tahun 2020 .. pasar prawirotaman dibangun dengan anggaran dari pusat melalui Inpres Pak Jokowi... sekarang pasar ini majadi lebih bagus.. semogq bisa bermanfaat bagi masyarakat...,2021-10-14,Prawirotaman
abadi setiya,Like,2021-10-14,Prawirotaman
Kaswin Andrianto (Cak andri),Pasar tradisional bisa dpt cash back rp 10.000,2021-10-14,Prawirotaman
I Gde Kenard Vipratrama,Nice market very traditional and it's neat and tidy.,2021-10-14,Prawirotaman
nana “nanax” sukma,Cukup menarik..,2021-10-14,Prawirotaman
cahyadi estu,Menyenangkan,2021-10-14,Prawirotaman
exsan arsitek,Bersih,2020-10-14,Prawirotaman
rosa dania,"belanja buah-buahan, sayur dan jajanan",2019-10-14,Prawirotaman
Suminar Hadi Widodo,pasar di tengah kota.  bersih dan nyaman,2019-10-14,Prawirotaman
warsito warsito,Klasik,2019-10-14,Prawirotaman
niken ayu respati,Kaita bisa menemukan kue kue tradisional yang enak,2019-10-14,Prawirotaman
Edy Wibowo,Gudanganny sy suka.sekarang pasar lg dibongkar.dibangun baru,2019-10-14,Prawirotaman
latifah anifiatun,"Bakso depan pasar,indolak bangettttttttt wajib dicoba",2019-10-14,Prawirotaman
Lasak Boy,Pasarnya sedang direnovasi,2019-10-14,Prawirotaman
Wulan Dhanam,Skarang sdh pindah jd tdk senang,2019-10-14,Prawirotaman
Arif Hidayat,Love this traditional market.,2019-10-14,Prawirotaman
Adjie Limbah,Pasar tradisional...skarang ini lg penata'an dan pembokaran total...,2019-10-14,Prawirotaman
Local Guides Reviewer,"Mbah Sis jamu, I love you...",2019-10-14,Prawirotaman
Harpandi Pedetan,Pasar nya pindah sekarang,2019-10-14,Prawirotaman
shismawanto honk,Kemarin kesana baru tahap renovasi,2019-10-14,Prawirotaman
cailendra budi atmaka,Sedang renovasi,2019-10-14,Prawirotaman
Eko Radius Rahman,Salah satu tradisional market yg ok,2019-10-14,Prawirotaman
M Nurul Ikhsan Saleh,Cukup bagus untuk belanja-belanja dadakan. Tapi kurang lengkap karena bisa dibilang penjualnya dikit,2019-10-14,Prawirotaman
Yudha Sakti Pratama,banyak street food,2019-10-14,Prawirotaman
Agnes Widya,Murah dan cukup bersih untuk level pasar tradisional,2019-10-14,Prawirotaman
Widi Kurniawan,Pasar Prawirotaman...pasar tradisional yg cukup komplit. Soto sapinya enak. Pasar yg lokasinya di pinggir jln besar sehingga mudah dicari. Makanan tradisionalnya jg byk yg jual.,2019-10-14,Prawirotaman
Fachri AR,"Lengkap,,",2019-10-14,Prawirotaman
Norma Property,Bangunan sudah jelek & becek...mo dibangun baru jadi lantai 2...sementara pindah ke selatan 400 m,2019-10-14,Prawirotaman
MOM EST,Bagus .. Utk menarik wisatawan manca negara,2019-10-14,Prawirotaman
